col_1:I,col_2:I,col_3:I,col_4:C,col_5:C,clo_6:T
-3,-19,19,RED,v,1
-3,1019,19,GREEN,v,1
-3,-19,981,BLUE,v,1
1003,-19,19,YELLOW,v,1
18,11,4,RED,v,1
18,989,4,GREEN,v,1
18,11,996,BLUE,v,1
982,11,4,YELLOW,v,1
256,625,204,RED,v,0
256,375,204,RED,v,0
256,625,796,BLUE,v,0
744,625,204,RED,v,0
11,49,16,RED,v,1
11,951,16,GREEN,v,1
11,49,984,BLUE,v,1
989,49,16,YELLOW,v,1
414,929,996,RED,v,0
414,71,996,RED,v,0
414,929,4,BLUE,v,0
586,929,996,BLUE,v,0
54,55,62,RED,v,1
54,945,62,GREEN,v,1
54,55,938,BLUE,v,1
946,55,62,YELLOW,v,1
40,75,55,RED,v,1
40,925,55,GREEN,v,1
40,75,945,BLUE,v,1
960,75,55,YELLOW,v,1
85,70,64,RED,v,1
85,930,64,GREEN,v,1
85,70,936,BLUE,v,1
915,70,64,YELLOW,v,1
79,71,89,RED,v,1
79,929,89,GREEN,v,1
79,71,911,BLUE,v,1
921,71,89,YELLOW,v,1
81,102,75,RED,v,1
81,898,75,GREEN,v,1
81,102,925,BLUE,v,1
919,102,75,YELLOW,v,1
119,95,92,RED,v,1
119,905,92,GREEN,v,1
119,95,908,BLUE,v,1
881,95,92,YELLOW,v,1
123,97,129,RED,v,1
123,903,129,GREEN,v,1
123,97,871,BLUE,v,1
877,97,129,YELLOW,v,1
116,137,139,RED,v,1
116,863,139,GREEN,v,1
116,137,861,BLUE,v,1
884,137,139,YELLOW,v,1
137,134,139,RED,v,1
137,866,139,GREEN,v,1
137,134,861,BLUE,v,1
863,134,139,YELLOW,v,1
126,127,160,RED,v,1
126,873,160,GREEN,v,1
126,127,840,BLUE,v,1
874,127,160,YELLOW,v,1
150,167,168,RED,v,0
150,833,168,GREEN,v,0
150,167,832,BLUE,v,0
850,167,168,YELLOW,v,0
176,149,159,RED,v,1
176,851,159,GREEN,v,1
176,149,841,BLUE,v,1
824,149,159,YELLOW,v,1
186,156,157,RED,v,0
186,844,157,YELLOW,v,0
186,156,843,GREEN,v,0
814,156,157,RED,v,0
196,175,179,RED,v,1
196,825,179,GREEN,v,1
196,175,821,BLUE,v,1
804,175,179,YELLOW,v,1
180,209,172,RED,v,1
180,791,172,GREEN,v,1
180,209,828,BLUE,v,1
820,209,172,YELLOW,v,1
209,205,218,RED,v,1
209,795,218,GREEN,v,1
209,205,782,BLUE,v,1
791,205,218,YELLOW,v,1
199,213,230,RED,v,1
199,787,230,GREEN,v,1
199,213,770,BLUE,v,1
801,213,230,YELLOW,v,1
230,229,215,RED,v,1
230,771,215,GREEN,v,1
230,229,785,BLUE,v,1
770,229,215,YELLOW,v,1
240,222,242,YELLOW,v,0
240,778,242,GREEN,v,0
240,222,758,RED,v,0
760,222,242,GREEN,v,0
253,224,258,RED,v,1
253,776,258,GREEN,v,1
