col_1:I,col_2:I,col_3:I,col_4:C,col_5:C,clo_6:T
18,10,-11,RED,v,0
18,990,-11,GREEN,v,0
18,10,1011,BLUE,v,0
982,10,-11,YELLOW,v,0
-4,-8,16,GREEN,v,0
-4,1008,16,YELLOW,v,0
-4,-8,984,BLUE,v,0
1004,-8,16,YELLOW,v,0
7,17,32,RED,o,0
7,983,32,GREEN,o,0
7,17,968,BLUE,o,0
993,17,32,YELLOW,o,0
35,32,44,RED,v,1
35,968,44,GREEN,v,1
35,32,956,BLUE,v,1
965,32,44,YELLOW,v,1
33,37,60,RED,v,1
33,963,60,GREEN,v,1
33,37,940,BLUE,v,1
967,37,60,YELLOW,v,1
31,34,50,RED,v,1
31,966,50,GREEN,v,1
31,34,950,BLUE,v,1
969,34,50,YELLOW,v,1
53,51,41,RED,v,1
53,949,41,GREEN,v,1
53,51,959,BLUE,v,1
947,51,41,YELLOW,v,1
64,75,61,RED,v,1
64,925,61,GREEN,v,1
64,75,939,BLUE,v,1
936,75,61,YELLOW,v,1
94,92,97,RED,v,1
94,908,97,GREEN,v,1
94,92,903,BLUE,v,1
906,92,97,YELLOW,v,1
75,70,78,RED,v,1
75,930,78,GREEN,v,1
75,70,922,BLUE,v,1
925,70,78,YELLOW,v,1
103,97,94,RED,v,1
103,903,94,GREEN,v,1
103,97,906,BLUE,v,1
897,97,94,YELLOW,v,1
125,107,110,RED,o,0
125,893,110,GREEN,o,0
125,107,890,BLUE,o,0
875,107,110,YELLOW,o,0
525,133,126,BLUE,v,0
525,867,126,BLUE,v,0
525,133,874,YELLOW,v,0
475,133,126,RED,v,0
147,125,125,RED,v,1
147,875,125,GREEN,v,1
147,125,875,BLUE,v,1
853,125,125,YELLOW,v,1
146,150,139,YELLOW,v,0
146,850,139,RED,v,0
146,150,861,RED,v,0
854,150,139,BLUE,v,0
164,154,141,RED,v,1
164,846,141,GREEN,v,1
164,154,859,BLUE,v,1
836,154,141,YELLOW,v,1
150,177,157,BLUE,v,0
150,823,157,RED,v,0
150,177,843,YELLOW,v,0
850,177,157,BLUE,v,0
175,159,174,RED,v,1
175,841,174,GREEN,v,1
175,159,826,BLUE,v,1
825,159,174,YELLOW,v,1
164,182,164,RED,v,1
164,818,164,GREEN,v,1
164,182,836,BLUE,v,1
836,182,164,YELLOW,v,1
201,203,197,RED,v,1
201,797,197,GREEN,v,1
201,203,803,BLUE,v,1
799,203,197,YELLOW,v,1
190,180,190,RED,v,1
190,820,190,GREEN,v,1
190,180,810,BLUE,v,1
810,180,190,YELLOW,v,1
201,198,216,RED,v,1
201,802,216,GREEN,v,1
201,198,784,BLUE,v,1
799,198,216,YELLOW,v,1
237,201,219,RED,v,1
237,799,219,GREEN,v,1
237,201,781,BLUE,v,1
763,201,219,YELLOW,v,1
231,250,242,RED,v,1
231,750,242,GREEN,v,1
231,250,758,BLUE,v,1
769,250,242,YELLOW,v,1
246,226,230,RED,v,1
246,774,230,GREEN,v,1
246,226,770,BLUE,v,1
754,226,230,YELLOW,v,1
237,266,251,RED,v,1
237,734,251,GREEN,v,1
237,266,749,BLUE,v,1
763,266,251,YELLOW,v,1
256,247,261,RED,v,0
256,753,261,GREEN,v,0
256,247,739,BLUE,v,0
744,247,261,YELLOW,v,0
276,275,269,RED,v,1
