QYID,前置审批事项,前置审批状态,前置审批单位,前置审批时间,单位类型,登记类型代码,所在区域,企业状态,经济类型,经济类型门类
602446157,03,02,D4,-,1,1,05,01,,
602827707,01,01,D15,2017,1,1,09,01,C3520,C
602597563,02,03,D4,2014,1,1,06,01,G6020,G
602684797,02,03,D4,2014,1,1,10,01,G6020,G
603094822,02,03,D4,2014,1,1,11,01,G5400,G
602707926,02,03,D4,2014,1,1,05,01,G5400,G
603193284,01,01,D18,2017,1,1,04,01,C2610,C
603150544,01,01,D1,2013,1,1,02,01,C2610,C
602501736,02,03,D4,2015,1,1,05,01,C1751,C
602581385,02,03,D4,2014,1,1,06,01,G6020,G
602782108,01,01,D2,2014,1,1,03,01,F5169,F
602437204,01,01,D18,2017,1,1,04,01,C2640,C
602437204,01,01,D10,2010,1,1,04,01,C2640,C
603008028,01,01,D6,2013,1,1,08,01,C2680,C
602499576,01,01,D11,2014,1,1,02,01,C2680,C
602418973,01,01,D5,2013,1,1,05,01,C2600,C
602912589,01,01,D17,2017,1,1,01,01,C2511,C
603131830,02,03,D4,2014,1,1,12,01,G6020,G
602636177,01,01,D12,2017,1,1,06,01,C2669,C
603089650,02,03,D4,2014,1,1,05,01,G6020,G
602447178,01,01,D5,2017,1,1,05,01,C4200,C
602447178,01,01,D5,2010,1,1,05,01,C4200,C
603120597,03,02,D4,-,1,1,12,01,,
602491696,02,03,D4,2014,1,1,09,01,,
602503734,02,03,D4,2014,1,1,02,01,G6020,G
602608110,02,03,D4,2014,1,1,11,01,G6020,G
602453345,01,01,D12,2017,1,1,06,01,C2600,C
602484854,02,03,D4,2014,1,1,10,01,G6020,G
603052473,02,03,D4,2014,1,1,05,01,G5800,G
602564374,02,03,D4,2014,1,1,07,01,G6020,G
603038583,01,01,D11,2017,1,1,00,01,C2610,C
603178990,01,01,D18,2017,1,1,04,01,C2600,C
603144848,02,03,D4,2014,1,1,11,01,G6020,G
602980201,02,03,D4,2014,1,1,05,01,G6020,G
602990294,02,03,D4,2014,1,1,10,01,L7200,L
602814769,01,01,D11,2013,1,1,02,01,C2600,C
602591241,01,01,D10,2010,1,1,04,01,C2600,C
602899538,02,03,D4,2014,1,1,11,01,G6020,G
602867905,01,01,D12,2017,1,1,06,01,C2669,C
602867905,01,01,D12,2017,1,1,06,01,C2669,C
602532611,01,01,D12,2013,1,1,06,01,M7300,M
602879057,03,02,D4,-,1,1,03,01,G6020,G
602721548,02,03,D4,2014,1,1,09,01,G6020,G
602656484,01,01,D3,2017,1,1,12,01,C2641,C
602470418,02,03,D4,2014,1,1,06,01,G6020,G
602492578,01,01,D9,2014,1,1,02,01,C2660,C
602593761,02,03,D4,2014,1,1,03,01,G6020,G
603140159,03,02,D4,-,1,1,02,01,,
602683747,02,03,D4,2014,1,1,07,01,G6020,G
602743057,03,02,D4,-,1,1,00,01,G6000,G
603030341,02,03,D4,2014,1,1,03,01,F5990,F
602986002,02,03,D4,2014,1,1,02,01,G6020,G
602956137,01,01,D1,2010,1,1,02,01,C2600,C
602849743,02,03,D4,2016,1,1,01,01,F5170,F
602464741,01,01,D9,2010,1,1,02,01,C2660,C
602604912,03,02,D4,-,1,1,01,01,G6020,G
602801964,01,01,D17,2017,1,1,01,01,C2665,C
602801964,01,01,D17,2010,1,1,01,01,C2665,C
602809319,02,03,D4,2014,1,1,03,01,G6020,G
602478449,03,02,D4,-,1,1,09,01,G6020,G
602478449,02,03,D4,2014,1,1,09,01,G6020,G
602496800,02,03,D4,2014,1,1,06,01,G6020,G
602464262,02,03,D4,2014,1,1,06,01,G6020,G
602690224,02,03,D4,2015,1,1,05,01,G6020,G
602778601,01,01,D14,2017,1,1,11,01,C2610,C
602853629,02,03,D4,2014,1,1,05,01,O8190,O
602689408,01,01,D5,2017,1,1,05,01,C3463,C
602541476,01,01,D16,2010,1,1,11,01,C3300,C
602509375,01,01,D1,2010,1,1,02,03,F5169,F
602894411,01,01,D16,2013,1,1,11,01,C2600,C
602516204,01,01,D11,2017,1,1,02,01,F5169,F
602795776,01,01,D5,2017,1,1,05,01,C2610,C
602598951,02,03,D4,2014,1,1,06,01,G6020,G
602735883,03,02,D4,-,1,1,06,01,,
602480657,02,03,D4,2014,1,1,02,01,G5820,G
603169737,02,03,D4,2014,1,1,01,01,E4700,E
602899669,02,03,D4,2014,1,1,01,01,G5400,G
602506918,02,03,D4,2014,1,1,06,01,,
603161247,02,03,D4,2014,1,1,06,01,G6020,G
602800246,02,03,D4,2015,1,1,05,01,L7200,L
602492734,01,01,D16,2010,1,1,11,01,C2610,C
602492734,01,01,D16,2017,1,1,11,01,C2610,C
602447998,01,01,D12,2010,1,1,06,01,C2631,C
602447998,01,01,D12,2013,1,1,06,01,C2631,C
602447998,01,01,D12,2017,1,1,06,01,C2631,C
602730856,01,01,D15,2014,1,1,09,01,C2710,C
602641888,01,01,D18,2017,1,1,04,01,C2680,C
602713118,01,01,D6,2017,1,1,08,01,C2660,C
602746153,01,01,D18,2014,1,1,04,01,C2600,C
602927811,01,01,D5,2017,1,1,05,01,C2610,C
602840720,01,01,D12,2013,1,1,00,01,C2631,C
602860163,02,03,D4,2014,1,1,06,01,G6020,G
602606667,01,01,D18,2017,1,1,04,01,C2660,C
602807691,03,02,D4,-,1,1,03,01,G6020,G
602551648,01,01,D9,2014,1,1,02,01,C2600,C
602512286,02,03,D4,2014,1,1,05,01,G6020,G
602817455,02,03,D4,2014,1,1,02,01,G6020,G
602986211,01,01,D12,2017,1,1,06,01,C2600,C
602587743,02,03,D4,2014,1,1,11,01,I6319,I
602691652,02,03,D4,2014,1,1,04,01,G5400,G
602748434,02,03,D4,2014,1,1,11,01,G6020,G
603196057,02,03,D4,2015,1,1,05,01,F5240,F
603170704,01,01,D5,2017,1,1,05,01,C2600,C
603106604,02,03,D4,2014,1,1,10,01,G6020,G
602884866,02,03,D4,2014,1,1,04,01,,
602452511,02,03,D4,2014,1,1,05,01,G5400,G
602544002,01,01,D3,2014,1,1,12,01,C3210,C
602536838,02,03,D4,2014,1,1,09,01,G6020,G
602534651,01,01,D5,2013,1,1,05,01,C2600,C
603230286,02,03,D4,2014,1,1,05,01,G5430,G
603019377,01,01,D15,2017,1,1,09,01,F5160,F
602647655,03,02,D4,-,1,1,04,01,G6020,G
602761527,02,03,D4,2014,1,1,10,01,O8190,O
602793969,01,01,D7,2010,1,1,10,01,C2620,C
602958439,02,03,D4,2014,1,1,04,01,O8000,O
602780733,02,03,D4,2016,1,1,05,01,G5821,G
602989728,01,01,D18,2017,1,1,04,01,C2600,C
602505142,02,03,D4,2014,1,1,12,01,,
602966978,01,01,D12,2014,1,1,06,01,C2800,C
602966978,01,01,D12,2017,1,1,06,01,C2800,C
602595548,01,01,D18,2013,1,1,04,01,C2600,C
602617506,03,02,D4,-,1,1,01,01,H6370,H
602440236,02,03,D4,2014,1,1,10,01,G5449,G
602953739,02,03,D4,2014,1,1,03,01,G6020,G
602661056,02,03,D4,2014,1,1,06,01,G6020,G
602425809,01,01,D12,2013,1,1,06,01,C2660,C
602643678,01,01,D2,2013,1,1,03,01,C2640,C
603089109,02,03,D4,2014,1,1,05,01,,
603095677,01,01,D16,2014,1,1,11,01,C2641,C
603095677,01,01,D16,2014,1,1,11,01,C2641,C
603033045,01,01,D2,2017,1,1,03,01,C2630,C
603033045,01,01,D2,2010,1,1,03,01,C2630,C
602671976,02,03,D4,2014,1,1,02,01,G6020,G
603034373,02,03,D4,2014,1,1,02,01,G6020,G
602436156,02,03,D4,2014,1,1,11,01,G6020,G
602453053,01,01,D12,2017,1,1,06,01,L7230,L
602780309,02,03,D4,2014,1,1,09,01,F5990,F
602753847,02,03,D4,2014,1,1,02,01,G6020,G
602892953,02,03,D4,2015,1,1,10,01,G5821,G
602585486,02,03,D4,2014,1,1,05,01,O7990,O
603107649,02,03,D4,2014,1,1,06,01,L7290,L
602440345,01,01,D16,2017,1,1,11,01,C2600,C
602488248,01,01,D16,2017,1,1,11,01,C2650,C
602929385,01,01,D15,2014,1,1,09,01,C2710,C
603147556,01,01,D8,2017,1,1,13,01,C3090,C
602974708,01,01,D18,2014,1,1,04,01,C2600,C
603066417,02,03,D4,2014,1,1,05,01,G6020,G
602473463,02,03,D4,2014,1,1,12,01,G6020,G
602897854,02,03,D4,2014,1,1,02,01,G5400,G
603060051,01,01,D12,2013,1,1,06,01,C2600,C
602797689,01,01,D10,2010,1,1,04,01,C2600,C
602696684,01,01,D1,2010,1,1,02,01,C3140,C
602649539,02,03,D4,2014,1,1,03,01,G6020,G
602950067,02,03,D4,2016,1,1,07,01,,
602523362,01,01,D1,2017,1,1,02,01,C2641,C
603160022,02,03,D4,2014,1,1,09,01,G6020,G
603123539,01,01,D9,2017,1,1,02,01,C2650,C
602434668,02,03,D4,2014,1,1,05,01,G6020,G
603211480,02,03,D4,2014,1,1,01,01,L7200,L
602635117,02,03,D4,2014,1,1,03,01,,
602718462,01,01,D12,2010,1,1,06,01,C2600,C
602718462,01,01,D12,2017,1,1,06,01,C2600,C
603180286,02,03,D4,2014,1,1,08,01,G6020,G
602512634,01,01,D14,2010,1,1,11,01,C2610,C
603008144,03,02,D4,-,1,1,05,01,,
602709393,02,03,D4,2014,1,1,12,01,,
602562945,01,01,D12,2014,1,1,06,01,C2600,C
602935449,01,01,D5,2014,1,1,05,01,C2920,C
603091164,01,01,D1,2013,1,1,02,01,C2600,C
603041480,01,01,D1,2010,1,1,02,01,C2600,C
602762618,01,01,D18,2017,1,1,04,01,C2610,C
602612697,01,01,D18,2017,1,1,04,01,C2610,C
603225583,02,03,D4,2014,1,1,12,01,G6020,G
603091120,02,03,D4,2014,1,1,08,01,G6020,G
602443950,01,01,D10,2010,1,1,04,01,C2600,C
602472234,01,01,D2,2013,1,1,03,01,C2641,C
602558606,01,01,D2,2017,1,1,03,01,C2600,C
602511982,01,01,D18,2017,1,1,04,01,,
602433262,01,01,D5,2017,1,1,05,01,C2910,C
602501978,03,02,D4,-,1,1,09,01,G5400,G
602954142,02,03,D4,2014,1,1,08,01,G5400,G
602602688,02,03,D4,2014,1,1,06,01,G5820,G
602585144,02,03,D4,2014,1,1,07,01,G6020,G
603020235,02,03,D4,2014,1,1,09,01,G6020,G
602421527,01,01,D5,2017,1,1,05,01,F5169,F
602540698,02,03,D4,2014,1,1,06,01,G6020,G
602889758,02,03,D4,2015,1,1,08,01,G5400,G
602439659,01,01,D15,2013,1,1,09,01,C2660,C
602480561,03,02,D4,-,1,1,05,01,,
602413234,01,01,D5,2017,1,1,05,01,C2610,C
603141172,01,01,D13,2013,1,1,07,01,C2631,C
602446169,01,01,D15,2017,1,1,09,01,C2610,C
602418048,01,01,D2,2014,1,1,03,01,C2631,C
602524166,01,01,D12,2017,1,1,06,01,C2641,C
602494887,01,01,D7,2014,1,1,10,01,C2610,C
602794507,01,01,D9,2013,1,1,02,01,C3872,C
602686174,01,01,D5,2017,1,1,05,01,C2650,C
603197192,02,03,D4,2014,1,1,12,01,G6020,G
602669969,02,03,D4,2014,1,1,02,01,,
602468082,01,01,D18,2017,1,1,04,01,C2600,C
602434156,01,01,D17,2010,1,1,01,01,C2500,C
602686473,01,01,D15,2017,1,1,09,01,C2631,C
602774579,02,03,D4,2014,1,1,03,01,O7900,O
603186934,02,03,D4,2014,1,1,10,01,G6020,G
602870013,02,03,D4,2014,1,1,08,01,G5449,G
603171980,01,01,D11,2013,1,1,02,01,C2610,C
602734424,02,03,D4,2015,1,1,02,01,C3500,C
602585394,02,03,D4,2014,1,1,09,01,G6020,G
602853053,01,01,D5,2014,1,1,05,01,C2610,C
602456253,02,03,D4,2014,1,1,06,01,G6020,G
603033013,02,03,D4,2016,1,1,06,01,L7200,L
602512261,02,03,D4,2014,1,1,03,01,G5400,G
602817623,02,03,D4,2014,1,1,01,01,O7900,O
602539190,02,03,D4,2014,1,1,02,01,G6020,G
602869058,01,01,D14,2010,1,1,11,01,C2610,C
602869058,01,01,D14,2017,1,1,11,01,C2610,C
602493607,02,03,D4,2014,1,1,03,01,L7299,L
